,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,liked/disliked
16,0.606,0.929,0.0,-2.182,1.0,0.055,0.023,0.0,0.101,0.622,139.022,4.0,1
17,0.565,0.849,0.0,-3.516,0.0,0.0517,0.00868,4.68e-06,0.12,0.427,102.034,4.0,1
18,0.644,0.202,6.0,-14.144,1.0,0.0342,0.924,0.421,0.107,0.23,123.872,3.0,1
19,0.739,0.75,6.0,-4.778,0.0,0.0339,0.0137,9.54e-06,0.158,0.431,124.958,4.0,1
20,0.699,0.732,8.0,-6.307,0.0,0.0304,0.0771,0.00198,0.131,0.676,120.028,4.0,1
21,0.498,0.235,1.0,-16.541,0.0,0.188,0.72,0.0,0.144,0.0895,118.917,4.0,1
22,0.495,0.484,2.0,-10.923,1.0,0.0391,0.313,0.0,0.104,0.592,126.632,5.0,1
23,0.733,0.65,5.0,-3.539,1.0,0.0315,0.0703,6.59e-05,0.0829,0.348,110.003,4.0,1
24,0.491,0.693,0.0,-6.487,0.0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,4.0,1
25,0.662,0.586,0.0,-8.821,1.0,0.0307,0.097,0.00272,0.115,0.296,90.0,4.0,1
26,0.445,0.83,2.0,-7.328,1.0,0.0454,0.00273,0.001,0.131,0.693,125.432,4.0,1
27,0.574,0.738,10.0,-5.526,1.0,0.0958,0.0235,2.03e-06,0.0959,0.307,109.996,4.0,1
28,0.489,0.419,4.0,-10.158,1.0,0.027,0.849,0.388,0.18,0.235,70.034,4.0,1
29,0.496,0.885,0.0,-2.481,1.0,0.0638,0.0405,0.0,0.271,0.686,104.93,4.0,1
30,0.883,0.817,0.0,-5.414,1.0,0.235,0.601,0.00449,0.11,0.595,128.078,4.0,1
31,0.461,0.5,1.0,-9.828,1.0,0.0614,0.00245,0.03,0.116,0.572,76.176,4.0,1
32,0.384,0.728,7.0,-6.503,0.0,0.0623,0.329,1.85e-05,0.329,0.311,156.396,4.0,1
33,0.659,0.712,2.0,-5.585,0.0,0.0352,0.584,0.0,0.201,0.883,143.792,4.0,1
34,0.663,0.857,2.0,-2.16,1.0,0.0544,0.0542,0.0,0.144,0.931,126.039,4.0,1
35,0.362,0.763,3.0,-8.514,1.0,0.0589,0.015,0.00481,0.237,0.431,187.291,4.0,1
36,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.015,4.0,1
37,0.573,0.277,2.0,-9.568,1.0,0.0332,0.76,0.000108,0.104,0.43,150.375,3.0,1
38,0.538,0.634,1.0,-5.747,1.0,0.0333,0.79,0.000845,0.194,0.699,188.001,3.0,1
39,0.464,0.0888,2.0,-14.043,1.0,0.0465,0.974,0.000345,0.0881,0.419,139.863,4.0,1
40,0.789,0.786,2.0,-4.788,1.0,0.297,0.596,0.0,0.0997,0.39,119.957,4.0,1
41,0.618,0.555,1.0,-12.152,0.0,0.176,0.0566,0.0111,0.16,0.515,195.018,4.0,1
42,0.693,0.518,1.0,-9.146,1.0,0.0282,0.653,0.531,0.138,0.374,128.041,4.0,1
43,0.64,0.686,0.0,-6.255,1.0,0.0327,0.704,0.0,0.082,0.608,110.056,4.0,1
44,0.546,0.639,7.0,-7.94,1.0,0.0291,0.151,0.0,0.29,0.414,100.026,4.0,1
45,0.866,0.813,11.0,-4.063,0.0,0.0554,0.38,0.0,0.0779,0.969,121.998,4.0,1
46,0.367,0.915,9.0,-3.456,0.0,0.0488,0.0022,5.81e-05,0.0905,0.365,110.169,4.0,1
47,0.514,0.683,5.0,-5.099,1.0,0.0367,0.0749,2.64e-06,0.392,0.575,159.814,4.0,1
48,0.663,0.412,5.0,-8.195,0.0,0.364,0.00434,0.019,0.215,0.356,98.023,4.0,1
49,0.764,0.32,11.0,-7.209,1.0,0.0546,0.837,0.0,0.0822,0.575,91.019,4.0,1
50,0.356,0.47,5.0,-8.929,1.0,0.0278,0.518,1e-05,0.0807,0.167,93.895,4.0,1
51,0.331,0.551,6.0,-8.505,1.0,0.0379,0.989,0.511,0.564,0.664,97.18,4.0,1
52,0.525,0.304,2.0,-10.299,1.0,0.0271,0.62,0.0,0.148,0.477,91.951,4.0,1
53,0.476,0.393,1.0,-5.207,1.0,0.032,0.889,0.0,0.116,0.295,112.976,5.0,1
54,0.676,0.301,2.0,-15.672,1.0,0.0293,0.55,3.49e-06,0.101,0.43,93.01,4.0,1
